Corporation ID,Corp Name,Math Below Benchmark,Math Approaching Benchmark,Math At Benchmark,Math Total Tested,Math Benchmark %
9220,Diocese of Fort Wayne - South Bend,188,225,272,685,0.39708029197
9230,Lutheran Schools of Indiana,56,85,102,243,0.41975308641
9305,Excel Center - Richmond,11,1,0,12,0.0
9315,Signature School Inc,1,16,85,102,0.83333333333
9320,Community Montessori Inc,22,4,5,31,0.16129032258
9325,Options Charter Schools,159,24,8,191,0.04188481675
9330,Irvington Community School,65,11,6,82,0.0731707317
9345,Excel Center - Lafayette,42,3,0,45,0.0
9355,Excel Center - Kokomo,48,5,0,53,0.0
9380,Christel House Academy South,62,27,11,100,0.11
9385,Christel House DORS,15,2,0,17,0.0
9445,Charles A Tindley Accelerated Sch,30,3,2,35,0.05714285714
9460,Thea Bowman Leadership Academy,55,5,0,60,0.0
9505,Indiana Agriculture and Technology,91,14,7,112,0.0625
9535,Gary Lighthouse Charter School,72,4,0,76,0.0
9545,21st Century Charter Sch of Gary,81,9,2,92,0.02173913043
9575,Victory College Prep,42,10,3,55,0.05454545454
9605,IN Sch for the Blind & Vis Imprd,2,0,0,2,0.0
9610,Indiana School For The Deaf,9,3,0,12,0.0
9620,Burris Laboratory School,17,8,24,49,0.48979591836
9625,Indiana Academy for Sci Math Hmn ,8,11,82,101,0.81188118811
9650,Herron Charter,57,93,101,251,0.40239043824
9651,"The Hope Academy, Inc.",12,5,0,17,0.0
9670,Indianapolis Metropolitan High Sch,56,1,1,58,0.01724137931
9705,Hammond Academy of Science & Tech,32,21,16,69,0.23188405797
9730,Neighbors' New Vistas High School,28,3,0,31,0.0
9750,Excel Center - Anderson,14,0,0,14,0.0
9760,Smith Academy for Excellence,8,1,0,9,0.0
9790,Anderson Preparatory Academy,64,5,0,69,0.0
9840,Excel Center - University Heights,2,0,0,2,0.0
9855,Excel Center - Noblesville,2,0,0,2,0.0
9875,Rock Creek Community Academy,26,8,5,39,0.1282051282
9880,Career Academy High School,77,23,10,110,0.0909090909
9885,Gary Middle College,24,1,0,25,0.0
9895,IN Math & Science Academy - North,27,10,9,46,0.19565217391
9905,Indiana Connections Academy,602,123,100,825,0.12121212121
9910,Excel Center for Adult Learners,10,1,0,11,0.0
9920,Damar Charter Academy,4,0,0,4,0.0
9950,Dugger Union Community School Corp,39,5,0,44,0.0
9980,Steel City Academy,14,3,0,17,0.0
9985,Seven Oaks Classical School,4,2,13,19,0.68421052631
9995,Excel Center - Shelbyville,19,2,0,21,0.0
